Date,District,CEFA,SHS
01/06/2018,North,472,565
01/06/2018,East,505,830
01/06/2018,West,480,427
01/06/2018,South,350,554
01/06/2018,Urban,83,424
01/10/2018,North,448,675
01/10/2018,East,477,1010
01/10/2018,West,456,461
01/10/2018,South,326,763
01/10/2018,Urban,91,591
01/06/2019,North,485,807
01/06/2019,East,522,1106
01/06/2019,West,498,606
01/06/2019,South,364,870
01/06/2019,Urban,49,602
01/10/2019,North,465,545
01/10/2019,East,501,894
01/10/2019,West,477,383
01/10/2019,South,352,667
01/10/2019,Urban,38,505
01/06/2020,North,489,640
01/06/2020,East,525,1020
01/06/2020,West,501,458
01/06/2020,South,165,704
01/06/2020,Urban,135,508
01/10/2020,North,1180,829
01/10/2020,East,1270,1396
01/10/2020,West,1010,688
01/10/2020,South,945,1054
01/10/2020,Urban,215,879
01/02/2021,North,1064,789
01/02/2021,East,1145,1255
01/02/2021,West,1090,620
01/02/2021,South,753,992
01/02/2021,Urban,108,703
01/08/2021,North,1704,657
01/08/2021,East,1834,1064
01/08/2021,West,1648,502
01/08/2021,South,1368,910
01/08/2021,Urban,114,696
01/02/2022,North,1570,629
01/02/2022,East,1689,959
01/02/2022,West,1607,494
01/02/2022,South,1161,752
01/02/2022,Urban,114,629
01/10/2022,North,1799,584
01/10/2022,East,1906,908
01/10/2022,West,1741,434
01/10/2022,South,1345,666
01/10/2022,Urban,255,468
01/06/2023,North,1605,485
01/06/2023,East,1727,753
01/06/2023,West,1542,361
01/06/2023,South,1170,552
01/06/2023,Urban,255,390
01/09/2023,North,1802,575
01/09/2023,East,2050,866
01/09/2023,West,2009,616
01/09/2023,South,1638,565
01/09/2023,Urban,514,185
01/02/2024,North,1611,510
01/02/2024,East,1830,784
01/02/2024,West,1803,565
01/02/2024,South,1456,504
01/02/2024,Urban,465,154
